Source.Name,aircraft_id,qty_needed,qty_res,qty_issued,qty_turned_in,unit_price,part_number,description,pos_ref,task_number,part_qty_oh,part_qty_ava,qty_on_order
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,2B7097-11EPA,COVER ASSY-FA SEAT BACKREST,CABIN,330-252200-02-1,29.0,29.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,3.0,0.0,3.0,0,0.0,2B7097-11EPA,COVER ASSY-FA SEAT BACKREST,CABIN,330-252200-02-1,29.0,29.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,2.0,0.0,2.0,0,0.0,2B7098-11EPA,COVER ASSY-FA SEAT PAM (STONE GREY),CABIN,330-252200-02-1,0.0,0.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,3-1596,NOSE WHEEL ASSY (A330),LDG,,2.0,2.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,3-1596,NOSE WHEEL ASSY (A330),LDG,,2.0,2.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,30-2581-3,LIGHT LOGO       ,AVIO,,0.0,0.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,300-067-265,IPCU,AVIO,,0.0,0.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,17.3,3011,SEE  3011/CAP  OR  3011/LAMP (CS1),AVIO,330-200315-01-1,19.0,19.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,2.0,0.0,2.0,0,17.3,3011,SEE  3011/CAP  OR  3011/LAMP (CS1),AVIO,,19.0,19.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,304634-2,IGNETER PLUG,APU,330-49-HWI-04,0.0,0.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,304634-2,IGNETER PLUG,APU,330-49-HWI-03,0.0,0.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,2.0,0.0,2.0,0,0.0,3214-31,BATTERY-BLOCK AY,AVIO,330-527100-04-1,22.0,22.0,2.0
AIRCRAFT1_mats.csv,AIRCRAFT1,4.0,0.0,4.0,0,0.0,32595-1,WASHER (SEE BASIC DATA),CABIN,330-525111-02-1,18.0,18.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,342-32,PLATE LOCKING,ENG 2,330-361143-01-1-2,1.0,1.0,2.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,0.0,0,0.0,342-32,PLATE LOCKING,ENG 1,330-361143-01-1-1,1.0,1.0,2.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,362-509-9002,GASKET,APU,330-49-HWI-04,277.0,276.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,1.0,0,0.0,362-509-9002,GASKET,APU,330-49-HWI-03,277.0,276.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,300.0,0.0,300.0,0,0.0,36521410-01,SEAL-SECURITY (RED),CABIN,330-25-HWI-122,1.0,1.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,2.0,0.0,2.0,0,0.0,37350AA1,EDGE; 1 FRONT-MODIFIED (RH) (TRUE PN 37350AA-1),CABIN,330-25-HWI-24,10.0,10.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,2.0,0.0,2.0,0,0.0,37351AA1,EDGE; 1 FRONT-MODIFIED(LH)(TRUE PN 37351AA-1),CABIN,330-25-HWI-24,9.0,9.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,2.0,0.0,2.0,0,0.0,37352AAX,EDGE; AFT 2-MODIFIED (RH) (TRUE PN 37352AA-X),CABIN,330-25-HWI-24,18.0,18.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,2.0,0.0,2.0,0,0.0,37353AAX,EDGE; AFT 2-MODIFIED (LH) (TRUE PN 37353AA-X),CABIN,330-25-HWI-24,4.0,4.0,0.0
AIRCRAFT1_mats.csv,AIRCRAFT1,1.0,0.0,0.0,0,0.0,398-21,FILTER,ENG 2,330-361143-01-1-2,4.0,2.0,0.0
